date,open,high,low,close,volume
2/1/2018,39.8129,40.3136,39.6023,40.3042,23917569
3/1/2018,40.3674,40.84,40.234,40.2972,27625587
4/1/2018,40.3697,40.5872,40.262,40.4843,20996338
5/1/2018,40.5803,41.0319,40.4891,40.9453,22143218
8/1/2018,40.7932,41.088,40.6949,40.7932,19249243
9/1/2018,40.84,40.9593,40.5732,40.7885,20200286
10/1/2018,40.5147,40.7814,40.4773,40.7791,22423849
11/1/2018,40.8494,41.0599,40.826,41.0108,17470956
12/1/2018,41.2214,41.4975,41.0974,41.4343,23788609
16/1/2018,41.6238,41.9724,41.212,41.2237,27670487
17/1/2018,41.2143,41.9396,40.9616,41.9045,32182282
18/1/2018,41.9677,42.1385,41.7057,41.942,29193654
19/1/2018,41.7899,42.0168,41.5091,41.7548,30346376
22/1/2018,41.4834,41.5957,41.3196,41.4132,25370709
23/1/2018,41.4834,41.9841,41.3711,41.4226,30593482
24/1/2018,41.4717,41.4834,40.5241,40.7628,47828882
25/1/2018,40.8306,40.9336,39.8994,40.0351,38866639
26/1/2018,40.2433,40.2433,39.7894,40.1287,36633612
29/1/2018,39.8128,39.8128,39.0899,39.2981,47393939
30/1/2018,38.7296,39.1601,38.5354,39.0665,43096173
31/1/2018,39.0431,39.4104,38.9565,39.1741,30396743
1/2/2018,39.1133,39.4525,39.0173,39.256,44202939
2/2/2018,38.8396,39.0267,37.4591,37.5527,81042517
5/2/2018,37.2251,38.3435,36.4998,36.6144,68075316
6/2/2018,36.226,38.306,36.0318,38.1446,63868796
7/2/2018,38.1586,38.2311,37.218,37.328,48300008
8/2/2018,37.5035,37.6696,36.2728,36.3009,50903618
9/2/2018,36.9,37.0926,35.2954,36.7449,66411550
12/2/2018,37.2359,38.5021,37.0033,38.2249,57152463
13/2/2018,38.0464,38.7042,37.9759,38.6079,30586741
14/2/2018,38.3025,39.3596,38.2649,39.3197,38194307
15/2/2018,39.8882,40.6635,39.7026,40.64,48063407
16/2/2018,40.492,41.0699,40.3533,40.5084,37753744
20/2/2018,40.4192,40.9384,40.2712,40.3722,31884758
21/2/2018,40.6024,40.9054,40.1748,40.1889,35212308
22/2/2018,40.3605,40.8655,40.3393,40.5249,29123331
23/2/2018,40.7998,41.2649,40.7692,41.2297,31773792
26/2/2018,41.4294,42.1436,41.3965,42.0449,35861337
27/2/2018,42.0754,42.3996,41.8546,41.9086,36581023
28/2/2018,42.113,42.4325,41.8288,41.8452,35504144
1/3/2018,41.9438,42.2352,40.5625,41.1122,45859602
2/3/2018,40.5954,41.4176,40.5132,41.3965,36135543
5/3/2018,41.1616,41.7559,40.9995,41.5398,26689028
6/3/2018,41.7958,41.8757,41.3776,41.5045,22354215
7/3/2018,41.0981,41.3118,40.9407,41.1192,29791980
8/3/2018,41.225,41.6103,41.1287,41.568,22340721
9/3/2018,41.8075,42.2868,41.6736,42.2821,30244646
12/3/2018,42.355,42.8483,42.3362,42.6909,30265245
13/3/2018,42.8953,43.1091,42.1083,42.2798,29782627
14/3/2018,42.362,42.4089,41.7723,41.9203,27597672
15/3/2018,41.9345,42.3432,41.8334,41.9697,21372526
16/3/2018,41.9697,42.0801,41.7277,41.8217,37028908
19/3/2018,41.6573,41.6925,40.7974,41.1827,31430223
20/3/2018,41.1686,41.5351,41.0981,41.1686,18464695
21/3/2018,41.1216,41.1333,40.2336,40.2359,34820745
22/3/2018,39.9376,40.5672,39.6087,39.6674,38989213
23/3/2018,39.5593,39.9187,38.7488,38.7488,38555033
26/3/2018,39.4841,40.6658,39.1012,40.5883,35277733
27/3/2018,40.8021,41.1475,39.214,39.5476,38455284
28/3/2018,39.2915,39.9422,38.8075,39.1106,39156176
29/3/2018,39.423,40.3487,39.2093,39.416,36083330
2/4/2018,39.1482,39.6885,38.6384,39.1576,35320587
3/4/2018,39.3831,39.6439,38.7347,39.5593,28452437
4/4/2018,38.7347,40.4098,38.7089,40.3158,32519047
5/4/2018,40.5437,40.9313,40.4263,40.5954,25309352
6/4/2018,40.1655,40.5202,39.5147,39.557,32894754
9/4/2018,39.9094,40.6635,39.9023,39.9493,27268140
10/4/2018,40.6424,40.8773,40.297,40.7011,26695787
11/4/2018,40.4615,40.8585,40.337,40.5108,21079148
12/4/2018,40.7387,41.1122,40.6518,40.9102,21509265
13/4/2018,41.0605,41.3096,40.8421,41.0488,23609509
16/4/2018,41.1192,41.3917,41.0722,41.3048,20277363
17/4/2018,41.4623,42.0378,41.4435,41.8734,25001314
18/4/2018,41.7724,42.0096,41.5539,41.7794,19503161
19/4/2018,40.8209,41.2039,40.5625,40.5954,32710119
20/4/2018,40.0785,40.2242,38.864,38.9321,61542507
23/4/2018,39.1928,39.214,38.5491,38.8193,34313874
24/4/2018,38.9204,39.0754,37.8749,38.279,31660637
25/4/2018,38.2038,38.8616,38.1545,38.4458,26670884
26/4/2018,38.5562,38.9344,38.38,38.5797,26277047
27/4/2018,38.528,38.6055,37.7363,38.1333,33505996
30/4/2018,38.0887,39.2939,38.0206,38.824,39869330
1/5/2018,39.0941,39.7496,38.8263,39.7261,50339523
2/5/2018,41.1662,41.7582,40.8303,41.481,62527515
3/5/2018,41.3189,41.6995,40.9806,41.5562,32014132
4/5/2018,41.8757,43.2853,41.8569,43.1866,52812774
7/5/2018,43.5038,44.0888,43.4028,43.4991,39891935
8/5/2018,43.4591,43.748,43.149,43.7081,26690297
9/5/2018,43.8256,44.0253,43.5132,44.0159,21811739
10/5/2018,44.1052,44.723,44.084,44.6455,26301753
11/5/2018,44.6879,44.8224,44.2069,44.4757,24726782
14/5/2018,44.5747,44.6973,44.3035,44.3719,19601272
15/5/2018,44.0489,44.1173,43.6527,43.9687,22352438
16/5/2018,43.8814,44.445,43.8649,44.379,18096010
17/5/2018,44.3366,44.5512,43.9498,44.0984,16313979
18/5/2018,44.1455,44.2917,43.8956,43.938,17260788
21/5/2018,44.3366,44.6361,44.0795,44.2493,17358046
22/5/2018,44.4262,44.5441,44.0489,44.1385,14377039
23/5/2018,43.9475,44.4545,43.8083,44.4215,18921729
24/5/2018,44.5181,44.5346,43.9144,44.3719,21917337
25/5/2018,44.3908,44.7256,44.254,44.4733,16471488
29/5/2018,44.2423,44.5135,44.0701,44.313,21238261
30/5/2018,44.2705,44.3365,44.0488,44.2186,17631312
31/5/2018,44.1526,44.3908,43.8979,44.0701,25925397
1/6/2018,44.3342,44.8695,44.2776,44.8648,22114026
4/6/2018,45.195,45.6148,45.1266,45.2398,24777723
5/6/2018,45.5322,45.7374,45.3648,45.5888,20343863
6/6/2018,45.6643,45.7704,45.261,45.7468,19747298
7/6/2018,45.7846,45.7987,45.3601,45.6242,20137474
8/6/2018,45.0841,45.2798,44.7539,45.2091,25146165
11/6/2018,45.1266,45.2728,44.8578,45.0983,17270977
12/6/2018,45.136,45.4237,45.0794,45.3459,15952757
13/6/2018,45.3789,45.4874,44.912,44.9733,20412171
14/6/2018,45.1738,45.1785,44.8601,44.9969,20385482
15/6/2018,44.8153,44.846,44.3979,44.5347,58221692
18/6/2018,44.3083,44.6243,44.1479,44.5111,17437390
19/6/2018,43.6621,43.9427,43.2635,43.7918,31675652
20/6/2018,43.9474,44.1479,43.8012,43.9828,19459689
21/6/2018,44.1596,44.4191,43.6149,43.7375,24254809
22/6/2018,43.8932,43.9003,43.5583,43.6102,25658985
25/6/2018,43.2518,43.6102,42.6221,42.9617,29868817
